날짜,콘텐츠유형,트래픽(TB),점유율(%)
2/4/2024,다운로드,1182.7,4.3
2/4/2024,기타,4050.1,14.8
2/4/2024,총계,27406.4,100
3/4/2024,SNS,4627.4,16.9
3/4/2024,게임,1050.9,3.8
3/4/2024,동영상,15466.6,56.5
3/4/2024,인터넷_접속,999.4,3.7
3/4/2024,다운로드,1201.1,4.4
3/4/2024,기타,4020.6,14.7
3/4/2024,총계,27366,100
4/4/2024,SNS,4412.9,15.3
4/4/2024,게임,1008.8,3.5
4/4/2024,동영상,16497.5,57.3
4/4/2024,인터넷_접속,1076.1,3.7
4/4/2024,다운로드,1363.3,4.7
4/4/2024,기타,4434.1,15.4
4/4/2024,총계,28792.7,100
1/4/2025,SNS,4531,15.2
1/4/2025,게임,1077.6,3.6
1/4/2025,동영상,17524.4,58.9
1/4/2025,인터넷_접속,951.2,3.2
1/4/2025,다운로드,1297,4.4
1/4/2025,기타,4389.4,14.7
1/4/2025,총계,29770.5,100
2/4/2025,SNS,4911.7,15
2/4/2025,게임,1348,4.1
2/4/2025,동영상,18973.8,57.9
2/4/2025,인터넷_접속,974.7,3
2/4/2025,다운로드,1596,4.9
2/4/2025,기타,4973.3,15.2
2/4/2025,총계,32777.6,100
